fold,method,K,history_alpha,history_mse,history_phase,grid_optimized_alpha,alpha_diff,alpha_diff_abs
2,jaccard,30,1.2000000000000006,1.035714511564385,fine,1.0,0.20000000000000062,0.20000000000000062
2,jaccard,40,1.4000000000000008,1.0358853981087517,fine,1.0,0.4000000000000008,0.4000000000000008
2,jaccard,50,1.5,1.0355631140210786,coarse,1.0,0.5,0.5
2,jaccard,60,1.5,1.03631253237216,coarse,1.0000000000000004,0.49999999999999956,0.49999999999999956
2,jaccard,70,1.5,1.0364519489551418,coarse,1.0,0.5,0.5
2,jaccard,80,2.0,1.036564887113663,coarse,1.0,1.0,1.0
2,jaccard,90,2.0,1.0368005276451666,coarse,1.0000000000000004,0.9999999999999996,0.9999999999999996
2,jaccard,100,2.0,1.0370433483471149,coarse,1.0000000000000004,0.9999999999999996,0.9999999999999996
2,jmsd,10,2.0,1.0164582610678554,coarse,1.0,1.0,1.0
2,jmsd,20,2.0,0.9982670539655876,coarse,1.0,1.0,1.0
2,jmsd,30,2.5,0.9972111984743736,coarse,1.0000000000000004,1.4999999999999996,1.4999999999999996
2,jmsd,40,3.0,0.9986465361941612,coarse,1.0,2.0,2.0
2,jmsd,50,3.0,1.000540385860565,coarse,1.0000000000000004,1.9999999999999996,1.9999999999999996
2,jmsd,60,3.0,1.0017483697529983,coarse,1.0000000000000004,1.9999999999999996,1.9999999999999996
2,jmsd,70,3.5,1.0028230091787096,coarse,1.1000000000000003,2.3999999999999995,2.3999999999999995
2,jmsd,80,3.5,1.0034946328008656,coarse,1.2000000000000006,2.2999999999999994,2.2999999999999994
2,jmsd,90,3.5,1.0041472313203923,coarse,1.3000000000000005,2.1999999999999993,2.1999999999999993
2,jmsd,100,3.5,1.0046824459285373,coarse,1.4000000000000004,2.0999999999999996,2.0999999999999996
2,kendall_tau_b,10,2.0,0.7365373674829566,coarse,1.1500000000000006,0.8499999999999994,0.8499999999999994
2,kendall_tau_b,20,2.500000000000001,0.7336399433497189,fine,1.9000000000000004,0.6000000000000005,0.6000000000000005
2,kendall_tau_b,30,2.9499999999999966,0.7393894650672987,fine,2.3499999999999988,0.5999999999999979,0.5999999999999979
2,kendall_tau_b,40,3.0,0.7439273049316355,coarse,2.599999999999998,0.40000000000000213,0.40000000000000213
2,kendall_tau_b,50,3.5,0.7468343486654239,coarse,2.7499999999999973,0.7500000000000027,0.7500000000000027
2,kendall_tau_b,60,3.5,0.7487007012180628,coarse,2.8499999999999988,0.6500000000000012,0.6500000000000012
2,kendall_tau_b,70,3.5,0.7500115877354571,coarse,2.9499999999999984,0.5500000000000016,0.5500000000000016
2,kendall_tau_b,80,3.5,0.7509269650001286,coarse,3.0,0.5,0.5
2,kendall_tau_b,90,3.5,0.7515950635697819,coarse,3.0,0.5,0.5
2,kendall_tau_b,100,3.5,0.7520577032023411,coarse,2.9999999999999982,0.5000000000000018,0.5000000000000018
2,manhattan,10,1.5000000000000004,0.8326352543726645,fine,1.3000000000000005,0.19999999999999996,0.19999999999999996
2,manhattan,20,1.8500000000000008,0.8352342608889971,fine,1.6500000000000006,0.20000000000000018,0.20000000000000018
2,manhattan,30,2.0,0.8414533839083428,coarse,1.8500000000000003,0.1499999999999997,0.1499999999999997
2,manhattan,40,2.1500000000000004,0.8464078034482009,fine,2.0000000000000004,0.1499999999999999,0.1499999999999999
2,manhattan,50,2.250000000000001,0.8503616759520672,fine,2.1000000000000005,0.15000000000000036,0.15000000000000036
2,manhattan,60,2.3000000000000007,0.8532512463767006,fine,2.1500000000000004,0.15000000000000036,0.15000000000000036
2,manhattan,70,2.3500000000000005,0.8555812530739593,fine,2.2000000000000006,0.1499999999999999,0.1499999999999999
2,manhattan,80,2.400000000000001,0.857276925672266,fine,2.250000000000001,0.1499999999999999,0.1499999999999999
2,manhattan,90,2.3999999999999986,0.8587156115647357,fine,2.249999999999999,0.14999999999999947,0.14999999999999947
2,manhattan,100,2.4499999999999984,0.8597897113582919,fine,2.299999999999999,0.14999999999999947,0.14999999999999947
2,msd,10,10.0,0.6174421281841842,coarse,1.0,9.0,9.0
2,msd,20,10.0,0.6755906244071931,coarse,1.0,9.0,9.0
2,msd,30,10.0,0.7209715706480215,coarse,1.0,9.0,9.0
2,msd,40,10.0,0.7547036586311113,coarse,1.0,9.0,9.0
2,msd,50,10.0,0.7814009276306201,coarse,1.0,9.0,9.0
2,msd,60,10.0,0.8027088906713357,coarse,1.0,9.0,9.0
2,msd,70,10.0,0.8207396270920502,coarse,1.0,9.0,9.0
2,msd,80,10.0,0.8357951897879394,coarse,1.0,9.0,9.0
2,msd,90,10.0,0.8486171218192133,coarse,1.7500000000000002,8.25,8.25
2,msd,100,10.0,0.8596967270683105,coarse,2.599999999999998,7.400000000000002,7.400000000000002
